product_name,amazon,flipkart,reliance,chroma
iPhone 15 Pro Max (Natural Titanium) - 256GB,151700,139990,154900,137990
iPhone 15 Pro Max (Black Titanium) - 256GB,150700,138990,153900,136990
iPhone 15 Pro (Blue Titanium) - 1TB,SOLD OUT,174990,175990,177990
iPhone 15 Plus (Blue) - 512GB,110800,111999,108900,SOLD OUT
iPhone 15 Plus (Black) - 128GB,81999,81999,82900,80590
iPhone 15 (Green) - 512GB,101400,100999,98900,99290
iPhone 15 (Black) - 512GB,101400,100999,98900,99290
iPhone 14 Plus (Blue) - 128GB,64999,58999,SOLD OUT,71090
iPhone 14 Plus (Purple) - 256GB,81700,68999,68900,80490
iPhone 14 Plus (Black) - 128GB,SOLD OUT,SOLD OUT,SOLD OUT,61790
iPhone 14 (Blue) - 256GB,72200,SOLD OUT,68900,71090
iPhone 14 (Purple) - 128GB,62800,58999,60900,61790